ExistingProtection,Occupation,Budget,Gender,WorkingYear,Plan
"N","建築",139100,1,4,"危疾計劃"
"N","建築",104850,0,6,"危疾計劃"
"N","建築",100600,0,8,"危疾計劃"
"N","建築",105700,1,8,"危疾計劃"
"N","建築",124450,0,4,"危疾計劃"
"N","建築",114900,1,4,"危疾計劃"
"N","建築",126000,0,4,"危疾計劃"
"N","建築",122250,1,8,"危疾計劃"
"N","建築",145200,0,6,"危疾計劃"
"N","建築",113700,1,6,"危疾計劃"
"N","建築",113450,0,8,"危疾計劃"
"N","建築",109150,1,8,"危疾計劃"
"N","建築",125900,1,8,"危疾計劃"
"N","建築",108400,1,6,"危疾計劃"
"N","建築",127500,1,6,"危疾計劃"
"N","建築",136050,0,6,"危疾計劃"
"N","建築",108400,0,8,"危疾計劃"
"N","建築",135700,1,8,"危疾計劃"
"N","建築",104500,1,6,"危疾計劃"
"N","建築",137900,0,6,"危疾計劃"
"N","建築",113650,1,8,"危疾計劃"
"N","建築",102900,1,6,"危疾計劃"
"N","建築",146800,0,6,"危疾計劃"
"N","建築",109600,1,4,"危疾計劃"
"N","建築",125100,0,4,"危疾計劃"
"N","建築",146450,0,6,"危疾計劃"
"N","建築",139800,0,6,"危疾計劃"
"N","建築",143050,0,4,"危疾計劃"
"N","建築",122900,1,4,"危疾計劃"
"N","建築",122300,0,8,"危疾計劃"
"N","建築",112750,1,6,"危疾計劃"
"N","建築",100400,0,4,"危疾計劃"
"N","建築",143800,0,4,"危疾計劃"
"N","建築",126700,1,6,"危疾計劃"
"N","建築",102200,0,8,"危疾計劃"
"N","建築",121850,1,4,"危疾計劃"
"N","建築",113400,0,8,"危疾計劃"
"N","建築",105850,1,6,"危疾計劃"
"N","建築",130250,0,8,"危疾計劃"
"N","建築",149100,1,8,"危疾計劃"
"N","建築",135750,0,8,"危疾計劃"
"N","建築",134300,1,8,"危疾計劃"
"N","建築",106250,1,6,"危疾計劃"
"N","建築",131100,1,6,"危疾計劃"
"N","建築",115850,0,4,"危疾計劃"
"N","建築",129050,0,4,"危疾計劃"
"N","建築",123850,0,8,"危疾計劃"
"N","建築",139400,0,8,"危疾計劃"
"N","建築",118850,0,6,"危疾計劃"
"N","建築",129900,1,4,"危疾計劃"
"N","建築",121200,1,6,"危疾計劃"
"N","建築",142650,1,6,"危疾計劃"
"N","建築",103050,0,6,"危疾計劃"
"N","建築",133150,1,4,"危疾計劃"
"N","建築",106250,1,8,"危疾計劃"
"N","建築",140350,1,6,"危疾計劃"
"N","建築",113250,0,6,"危疾計劃"
"N","建築",107700,1,8,"危疾計劃"
"N","建築",126100,0,8,"危疾計劃"
"N","建築",142050,0,6,"危疾計劃"
"N","建築",140750,0,4,"危疾計劃"
"N","建築",148200,1,4,"危疾計劃"
"N","建築",145050,1,8,"危疾計劃"
"N","建築",104500,1,6,"危疾計劃"
"N","建築",124150,1,6,"危疾計劃"
"N","建築",145950,0,4,"危疾計劃"
"N","建築",113800,1,4,"危疾計劃"
"N","建築",110600,1,4,"危疾計劃"
"N","建築",101800,1,6,"危疾計劃"
"N","建築",101700,1,4,"危疾計劃"
"N","建築",145750,0,6,"危疾計劃"
"N","建築",140950,1,3,"危疾計劃"
"N","建築",108000,0,6,"危疾計劃"
"N","建築",141700,0,8,"危疾計劃"
"N","建築",131850,1,6,"危疾計劃"
"N","建築",105850,0,6,"危疾計劃"
"N","建築",111600,0,4,"危疾計劃"
"N","建築",136700,0,8,"危疾計劃"
"N","建築",110350,1,8,"危疾計劃"
"N","建築",141250,1,8,"危疾計劃"
"N","建築",141900,0,4,"危疾計劃"
"N","建築",115650,1,6,"危疾計劃"
"N","建築",137850,0,6,"危疾計劃"
"N","建築",125400,0,3,"危疾計劃"
"N","建築",118350,0,4,"危疾計劃"
"N","建築",140750,0,3,"危疾計劃"
"N","建築",144800,1,4,"危疾計劃"
"N","建築",137700,0,3,"危疾計劃"
"N","建築",140600,1,6,"危疾計劃"
"N","建築",146250,1,6,"危疾計劃"
"N","建築",107050,0,4,"危疾計劃"
"N","建築",137950,1,6,"危疾計劃"
"N","建築",111400,0,6,"危疾計劃"
"N","建築",148100,0,6,"危疾計劃"
"N","建築",135950,1,8,"危疾計劃"
"N","建築",108450,1,3,"危疾計劃"
"N","建築",128400,0,4,"危疾計劃"
"N","建築",132550,1,6,"危疾計劃"
"N","建築",106350,1,6,"危疾計劃"
"N","建築",142750,1,6,"危疾計劃"
"N","建築",129350,1,6,"危疾計劃"
"N","建築",108450,0,8,"危疾計劃"
"N","建築",117300,1,8,"危疾計劃"
"N","建築",119550,0,4,"危疾計劃"
"N","建築",135700,0,3,"危疾計劃"
"N","建築",131950,0,6,"危疾計劃"
"N","建築",123400,1,4,"危疾計劃"
"N","建築",108600,1,6,"危疾計劃"
"N","建築",137250,0,6,"危疾計劃"
"N","建築",114150,0,6,"危疾計劃"
"N","建築",125200,1,6,"危疾計劃"
"N","建築",132950,0,8,"危疾計劃"
"N","建築",128600,1,6,"危疾計劃"
"N","建築",136550,0,6,"危疾計劃"
"N","建築",137050,1,6,"危疾計劃"
"N","建築",119100,1,6,"危疾計劃"
"N","建築",138550,0,6,"危疾計劃"
"N","建築",139050,0,6,"危疾計劃"
"N","建築",134000,0,6,"危疾計劃"
"N","建築",139800,0,3,"危疾計劃"
"N","建築",128150,1,6,"危疾計劃"
"N","建築",118250,1,6,"危疾計劃"
"N","建築",145300,0,8,"危疾計劃"
"N","建築",121550,1,6,"危疾計劃"
"N","建築",141600,0,6,"危疾計劃"
"N","建築",147300,1,8,"危疾計劃"
"N","建築",112550,0,6,"危疾計劃"
"N","建築",117850,0,4,"危疾計劃"
"N","建築",149800,0,8,"危疾計劃"
"N","建築",117100,1,8,"危疾計劃"
"N","建築",133550,0,8,"危疾計劃"
"N","建築",112750,1,3,"危疾計劃"
"N","建築",129200,0,8,"危疾計劃"
"N","建築",134100,1,3,"危疾計劃"
"N","建築",108950,0,8,"危疾計劃"
"N","建築",131500,1,6,"危疾計劃"
"N","建築",120650,0,6,"危疾計劃"
"N","建築",146050,1,6,"危疾計劃"
"N","建築",129800,1,8,"危疾計劃"
"N","建築",116850,1,3,"危疾計劃"
"N","建築",128850,0,8,"危疾計劃"
"N","建築",147400,0,3,"危疾計劃"
"N","建築",140950,1,6,"危疾計劃"
"N","建築",146650,0,6,"危疾計劃"
"N","建築",136300,0,6,"危疾計劃"
"N","建築",122400,1,3,"危疾計劃"
"N","建築",145500,1,4,"危疾計劃"
"N","建築",126850,0,6,"危疾計劃"
"N","建築",130950,0,3,"危疾計劃"
"N","建築",130550,1,8,"危疾計劃"
"N","建築",131450,0,3,"危疾計劃"
"N","建築",131700,0,3,"危疾計劃"
"N","建築",111800,0,6,"危疾計劃"
"N","建築",141750,0,6,"危疾計劃"
"N","建築",115850,1,4,"危疾計劃"
"N","建築",120750,1,3,"危疾計劃"
"N","建築",136500,1,6,"危疾計劃"
"N","建築",120650,1,6,"危疾計劃"
"N","建築",143900,0,6,"危疾計劃"
"N","建築",104250,0,3,"危疾計劃"
"N","建築",105100,0,6,"危疾計劃"
"N","建築",122800,1,6,"危疾計劃"
"N","建築",123550,0,3,"危疾計劃"
"N","建築",137800,1,4,"危疾計劃"
"N","建築",146400,1,3,"危疾計劃"
"N","建築",137800,1,8,"危疾計劃"
"N","建築",100300,1,4,"危疾計劃"
"N","建築",117400,0,3,"危疾計劃"
"N","建築",144250,0,6,"危疾計劃"
"N","建築",113600,0,6,"危疾計劃"
"N","建築",112000,1,8,"危疾計劃"
"N","建築",126200,1,6,"危疾計劃"
"N","建築",115950,1,6,"危疾計劃"
"N","建築",142550,0,6,"危疾計劃"
"N","建築",125250,0,8,"危疾計劃"
"N","建築",128500,0,3,"危疾計劃"
"N","建築",137050,0,6,"危疾計劃"
"N","建築",137850,0,4,"危疾計劃"
"N","建築",107750,0,6,"危疾計劃"
"N","建築",125450,1,4,"危疾計劃"
"N","建築",128700,1,6,"危疾計劃"
"N","建築",144250,1,8,"危疾計劃"
"N","建築",116950,1,4,"危疾計劃"
"N","建築",139650,1,6,"危疾計劃"
"N","建築",128600,0,6,"危疾計劃"
"N","建築",104750,1,6,"危疾計劃"
"N","建築",113200,1,6,"危疾計劃"
"N","建築",134000,1,3,"危疾計劃"
"N","建築",101150,0,8,"危疾計劃"
"N","建築",101050,1,3,"危疾計劃"
"N","建築",119050,0,3,"危疾計劃"
"N","建築",136050,0,4,"危疾計劃"
"N","建築",132450,1,6,"危疾計劃"
"N","建築",112050,0,6,"危疾計劃"
"N","建築",130850,0,6,"危疾計劃"
"N","建築",104650,0,6,"危疾計劃"
"N","建築",149400,1,6,"危疾計劃"
"N","建築",109350,1,8,"危疾計劃"
"N","建築",146550,0,3,"危疾計劃"
"N","建築",104100,1,4,"危疾計劃"
"N","建築",147200,1,3,"危疾計劃"
"N","建築",116150,1,3,"危疾計劃"
"N","建築",121950,1,6,"危疾計劃"
"N","建築",123950,0,3,"危疾計劃"
"N","建築",117700,1,8,"危疾計劃"
"N","建築",100550,1,6,"危疾計劃"
"N","建築",130900,0,6,"危疾計劃"
"N","建築",102150,0,8,"危疾計劃"
"N","建築",147450,0,6,"危疾計劃"
"N","建築",149550,1,6,"危疾計劃"
"N","建築",124800,1,3,"危疾計劃"
"N","建築",103200,1,6,"危疾計劃"
"N","建築",141000,0,6,"危疾計劃"
"N","建築",125300,1,6,"危疾計劃"
"N","建築",121850,1,4,"危疾計劃"
"N","建築",118500,0,3,"危疾計劃"
"N","建築",142300,1,6,"危疾計劃"
"N","建築",148800,0,3,"危疾計劃"
"N","建築",115050,1,6,"危疾計劃"
"N","建築",146400,0,6,"危疾計劃"
"N","建築",113600,1,6,"危疾計劃"
"N","建築",136950,0,3,"危疾計劃"
"N","建築",111150,1,4,"危疾計劃"
"N","建築",103400,0,6,"危疾計劃"
"N","建築",125100,0,3,"危疾計劃"
"N","建築",127350,1,6,"危疾計劃"
"N","建築",102850,1,6,"危疾計劃"
"N","建築",143250,1,6,"危疾計劃"
"N","建築",123650,1,3,"危疾計劃"
"N","建築",101400,0,6,"危疾計劃"
"N","建築",145450,0,6,"危疾計劃"
"N","建築",138700,1,4,"危疾計劃"
"N","建築",118550,0,3,"危疾計劃"
"N","建築",137850,1,8,"危疾計劃"
"N","建築",121800,0,8,"危疾計劃"
"N","建築",124550,1,6,"危疾計劃"
"N","建築",140550,1,3,"危疾計劃"
"N","建築",105000,1,8,"危疾計劃"
"N","建築",120800,0,3,"危疾計劃"
"N","建築",115850,0,4,"危疾計劃"
"N","建築",144500,0,3,"危疾計劃"
"N","建築",106900,0,6,"危疾計劃"
"N","建築",125750,1,3,"危疾計劃"
"N","建築",139800,0,6,"危疾計劃"
"N","建築",124550,0,6,"危疾計劃"
"N","建築",108900,0,6,"危疾計劃"
"N","建築",100950,0,3,"危疾計劃"
"N","建築",149250,1,6,"危疾計劃"
"N","建築",129650,0,3,"危疾計劃"
"N","建築",104350,1,4,"危疾計劃"
"N","建築",102050,1,3,"危疾計劃"
"N","建築",122350,0,6,"危疾計劃"
"N","建築",149300,1,3,"危疾計劃"
"N","建築",115600,0,3,"危疾計劃"
"N","建築",129250,1,3,"危疾計劃"
"N","建築",116550,0,6,"危疾計劃"
"N","建築",137250,0,4,"危疾計劃"
"N","建築",149500,0,6,"危疾計劃"
"N","建築",130550,1,6,"危疾計劃"
"N","建築",111850,0,6,"危疾計劃"
"N","建築",140050,0,8,"危疾計劃"
"N","建築",103150,0,3,"危疾計劃"
"N","建築",100250,0,8,"危疾計劃"
"N","建築",115250,0,4,"危疾計劃"
"N","建築",107200,0,3,"危疾計劃"
"N","建築",126200,1,6,"危疾計劃"
"N","建築",146750,1,4,"危疾計劃"
"N","建築",118350,1,8,"危疾計劃"
"N","建築",125250,0,4,"危疾計劃"
"N","建築",129600,0,6,"危疾計劃"
"N","建築",137250,1,6,"危疾計劃"
"N","建築",125300,1,6,"危疾計劃"
"N","建築",128950,1,6,"危疾計劃"
"N","建築",109800,1,6,"危疾計劃"
"N","建築",118900,1,4,"危疾計劃"
"N","建築",137200,0,3,"危疾計劃"
"N","建築",129000,1,3,"危疾計劃"
"N","建築",121250,1,3,"危疾計劃"
"N","建築",146100,1,8,"危疾計劃"
"N","建築",103750,1,6,"危疾計劃"
"N","建築",122650,1,4,"危疾計劃"
"N","建築",101000,1,3,"危疾計劃"
"N","建築",137950,0,3,"危疾計劃"
"N","建築",131750,1,6,"危疾計劃"
"N","建築",118400,1,8,"危疾計劃"
"N","建築",100100,0,6,"危疾計劃"
"N","建築",145850,1,6,"危疾計劃"
"N","建築",143650,1,6,"危疾計劃"
"N","建築",135300,1,6,"危疾計劃"
"N","建築",140900,0,6,"危疾計劃"
"N","建築",122600,1,3,"危疾計劃"
"N","建築",109300,0,8,"危疾計劃"
"N","建築",137450,0,6,"危疾計劃"
"N","建築",117850,0,8,"危疾計劃"
"N","建築",118900,1,6,"危疾計劃"
"N","建築",105050,1,8,"危疾計劃"
"N","建築",108550,1,8,"危疾計劃"
"N","建築",115550,0,8,"危疾計劃"
"N","建築",129250,0,6,"危疾計劃"
"N","建築",100950,0,6,"危疾計劃"
"N","建築",149150,1,4,"危疾計劃"
"N","建築",138900,1,4,"危疾計劃"
"N","建築",139650,0,8,"危疾計劃"
"N","建築",120650,0,4,"危疾計劃"
"N","建築",125700,0,8,"危疾計劃"
"N","建築",128600,1,6,"危疾計劃"
"N","建築",123700,1,4,"危疾計劃"
"N","建築",113900,1,6,"危疾計劃"
"N","建築",104350,0,6,"危疾計劃"
"N","建築",107500,1,4,"危疾計劃"
"N","建築",133650,0,6,"危疾計劃"
"N","建築",121250,1,8,"危疾計劃"
"N","建築",131100,0,4,"危疾計劃"
"N","建築",130450,0,6,"危疾計劃"
"N","建築",149550,0,4,"危疾計劃"
"N","建築",129300,1,4,"危疾計劃"
"N","建築",131100,0,8,"危疾計劃"
"N","建築",124650,1,6,"危疾計劃"
"N","建築",121050,1,4,"危疾計劃"
"N","建築",112950,0,4,"危疾計劃"
"N","建築",103800,1,6,"危疾計劃"
"N","建築",109600,0,8,"危疾計劃"
"N","建築",142600,0,4,"危疾計劃"
"N","建築",142050,1,4,"危疾計劃"
"N","建築",124100,0,8,"危疾計劃"
"N","建築",117050,0,6,"危疾計劃"
"N","建築",105600,1,4,"危疾計劃"
"N","建築",124450,0,6,"危疾計劃"
"N","建築",133750,0,4,"危疾計劃"
"N","建築",142400,0,8,"危疾計劃"
"N","建築",114850,0,6,"危疾計劃"
"N","建築",140450,0,6,"危疾計劃"
"N","建築",144150,0,8,"危疾計劃"
"N","建築",125950,1,8,"危疾計劃"
"N","建築",148200,0,4,"危疾計劃"
"N","建築",118200,1,8,"危疾計劃"
"N","建築",128900,0,4,"危疾計劃"
"N","建築",132100,0,6,"危疾計劃"
"N","建築",131150,0,4,"危疾計劃"
"N","建築",141700,0,8,"危疾計劃"
"N","建築",132500,1,6,"危疾計劃"
"N","建築",138250,1,8,"危疾計劃"
"N","建築",142700,0,8,"危疾計劃"
"N","服務",52650,1,5,"危疾計劃"
"N","服務",51350,1,9,"危疾計劃"
"N","服務",59250,0,5,"危疾計劃"
"N","服務",57500,1,9,"危疾計劃"
"N","服務",55350,1,3,"危疾計劃"
"N","服務",56950,0,9,"危疾計劃"
"N","服務",53950,0,7,"危疾計劃"
"N","服務",54950,1,3,"危疾計劃"
"N","服務",54500,0,3,"危疾計劃"
"N","服務",56450,1,7,"危疾計劃"
"N","服務",50750,1,9,"危疾計劃"
"N","服務",56150,0,3,"危疾計劃"
"N","服務",57300,0,7,"危疾計劃"
"N","服務",51200,1,3,"危疾計劃"
"N","服務",55350,0,9,"危疾計劃"
"N","服務",53150,0,9,"危疾計劃"
"N","服務",54250,1,3,"危疾計劃"
"N","服務",55800,0,7,"危疾計劃"
"N","服務",50950,1,5,"危疾計劃"
"N","服務",58200,0,9,"危疾計劃"
"N","服務",56550,1,7,"危疾計劃"
"N","服務",50550,0,5,"危疾計劃"
"N","服務",56900,0,5,"危疾計劃"
"N","服務",51050,0,5,"危疾計劃"
"N","服務",58300,0,7,"危疾計劃"
"N","服務",55200,0,3,"危疾計劃"
"N","服務",55850,1,3,"危疾計劃"
"N","服務",51950,0,9,"危疾計劃"
"N","服務",57200,0,9,"危疾計劃"
"N","服務",54250,0,3,"危疾計劃"
"N","服務",55850,0,5,"危疾計劃"
"N","服務",56250,1,3,"危疾計劃"
"N","服務",50300,1,3,"危疾計劃"
"N","服務",54400,1,7,"危疾計劃"
"N","服務",56800,1,3,"危疾計劃"
"N","服務",51000,1,3,"危疾計劃"
"N","服務",56100,0,5,"危疾計劃"
"N","服務",59500,0,9,"危疾計劃"
"N","服務",53350,0,9,"危疾計劃"
"N","服務",51100,0,9,"危疾計劃"
"N","服務",57250,0,7,"危疾計劃"
"N","服務",52050,0,9,"危疾計劃"
"N","服務",51700,0,5,"危疾計劃"
"N","服務",53900,0,7,"危疾計劃"
"N","服務",54700,0,7,"危疾計劃"
"N","服務",55750,0,7,"危疾計劃"
"N","服務",54700,1,7,"危疾計劃"
"N","服務",52750,0,9,"危疾計劃"
"N","服務",50300,1,5,"危疾計劃"
"N","服務",50600,1,5,"危疾計劃"
"N","服務",53700,0,9,"危疾計劃"
"N","服務",54100,0,5,"危疾計劃"
"N","服務",59200,1,3,"危疾計劃"
"N","服務",55050,0,5,"危疾計劃"
"N","服務",55500,0,3,"危疾計劃"
"N","服務",56350,0,5,"危疾計劃"
"N","服務",54500,0,5,"危疾計劃"
"N","服務",59800,0,3,"危疾計劃"
"N","服務",59050,1,3,"危疾計劃"
"N","服務",50100,0,7,"危疾計劃"
"N","服務",53950,0,7,"危疾計劃"
"N","服務",52900,1,9,"危疾計劃"
"N","服務",58150,0,5,"危疾計劃"
"N","服務",53700,1,7,"危疾計劃"
"N","服務",57350,0,7,"危疾計劃"
"N","服務",56850,1,5,"危疾計劃"
"N","服務",52750,1,9,"危疾計劃"
"N","服務",50300,0,3,"危疾計劃"
"N","服務",56150,0,7,"危疾計劃"
"N","服務",51400,0,9,"危疾計劃"
"N","服務",59400,1,7,"危疾計劃"
"N","服務",53650,0,7,"危疾計劃"
"N","服務",52650,1,9,"危疾計劃"
"N","服務",57300,0,5,"危疾計劃"
"N","服務",52650,1,7,"危疾計劃"
"N","服務",50800,0,7,"危疾計劃"
"N","服務",54500,1,5,"危疾計劃"
"N","服務",56200,0,3,"危疾計劃"
"N","服務",52550,1,3,"危疾計劃"
"N","服務",50300,1,7,"危疾計劃"
"N","服務",50050,0,7,"危疾計劃"
"N","服務",56350,1,5,"危疾計劃"
"N","服務",55950,0,5,"危疾計劃"
"N","服務",50350,1,9,"危疾計劃"
"N","服務",56650,0,7,"危疾計劃"
"N","服務",59100,1,9,"危疾計劃"
"N","服務",50600,0,7,"危疾計劃"
"N","服務",57850,0,7,"危疾計劃"
"N","服務",55700,1,5,"危疾計劃"
"N","服務",55350,1,5,"危疾計劃"
"N","服務",52250,1,9,"危疾計劃"
"N","服務",55200,0,9,"危疾計劃"
"N","服務",53700,1,5,"危疾計劃"
"N","服務",53450,1,9,"危疾計劃"
"N","服務",55900,0,7,"危疾計劃"
"N","服務",58750,0,5,"危疾計劃"
"N","服務",52900,1,7,"危疾計劃"
"N","服務",56100,1,3,"危疾計劃"
"N","服務",56800,1,9,"危疾計劃"
"N","服務",53050,1,5,"危疾計劃"
"N","服務",56700,0,9,"危疾計劃"
"N","服務",50400,1,3,"危疾計劃"
"N","服務",51850,1,5,"危疾計劃"
"N","服務",59100,0,7,"危疾計劃"
"N","服務",52750,1,7,"危疾計劃"
